                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.42538,                0.23114,                0.79425,                0.99991,                      1,                  0.995,                0.93395,                0.38934,                0.18791,                0.78142,              0.0002971,              0.0002971,              0.0002971
                     74,                0.42849,                0.23207,                0.79523,                0.99989,                      1,                  0.995,                0.93793,                0.38164,                0.18447,                0.78049,              0.0002872,              0.0002872,              0.0002872
                     75,                0.42519,                0.23089,                0.79328,                0.99986,                      1,                  0.995,                0.93661,                0.38177,                0.18551,                0.78022,              0.0002773,              0.0002773,              0.0002773
                     76,                 0.4256,                0.22905,                0.79442,                      1,                0.99998,                  0.995,                0.93699,                0.38125,                0.18604,                 0.7802,              0.0002674,              0.0002674,              0.0002674
                     77,                0.42478,                0.22799,                0.79309,                0.99989,                      1,                  0.995,                0.93584,                0.38284,                0.18543,                0.78009,              0.0002575,              0.0002575,              0.0002575
                     78,                0.42149,                0.22661,                 0.7937,                0.99984,                      1,                  0.995,                 0.9367,                0.38461,                 0.1859,                0.78028,              0.0002476,              0.0002476,              0.0002476
                     79,                 0.4194,                0.22749,                0.79172,                      1,                0.99984,                  0.995,                0.93639,                0.38432,                0.18544,                0.78032,              0.0002377,              0.0002377,              0.0002377
                     80,                0.41836,                0.22568,                0.79379,                      1,                0.99989,                  0.995,                0.93588,                0.38394,                0.18448,                0.78037,              0.0002278,              0.0002278,              0.0002278
                     81,                0.41966,                0.22629,                0.79238,                0.99992,                 0.9995,                  0.995,                0.93583,                0.38555,                0.18468,                0.78037,              0.0002179,              0.0002179,              0.0002179
                     82,                0.41763,                0.22378,                0.79165,                      1,                0.99994,                  0.995,                0.93504,                0.38693,                0.18451,                0.78025,               0.000208,               0.000208,               0.000208
                     83,                0.41818,                 0.2244,                0.79428,                      1,                0.99997,                  0.995,                0.93738,                0.38041,                0.18233,                0.77966,              0.0001981,              0.0001981,              0.0001981
                     84,                0.41606,                0.22219,                0.79394,                      1,                0.99997,                  0.995,                0.93758,                 0.3785,                0.18158,                0.77959,              0.0001882,              0.0001882,              0.0001882
                     85,                0.41711,                0.22273,                0.79198,                      1,                0.99996,                  0.995,                0.93752,                0.37879,                 0.1817,                0.77954,              0.0001783,              0.0001783,              0.0001783
                     86,                0.41384,                0.22085,                0.79283,                      1,                0.99995,                  0.995,                0.93771,                0.37784,                 0.1811,                0.77936,              0.0001684,              0.0001684,              0.0001684
                     87,                0.41559,                0.22158,                0.79387,                      1,                0.99998,                  0.995,                0.93709,                0.37941,                0.18205,                0.77964,              0.0001585,              0.0001585,              0.0001585
                     88,                0.41329,                0.22047,                 0.7932,                0.99998,                      1,                  0.995,                0.93576,                0.38381,                0.18264,                0.78013,              0.0001486,              0.0001486,              0.0001486
